word,count
삶의,374
뭐하고,374
든,374
똑똑한,373
갈래,373
남아,372
그러세요,372
아이구,372
못했어요,371
아빤,371
달려,371
된다는,371
인간이,370
잘못이,370
내말은,370
아시죠,370
빠르게,370
무기,369
부인이,369
없이는,369
간다고,369
있긴,369
살아있는,368
괜찮습니다,368
됐습니다,368
담배,367
위험해,367
도시를,367
마셔,367
들려요,367
왔네,366
괜찮니,366
언제부터,366
필요합니다,366
왕이,365
쿠퍼,365
가져다,365
영국,365
경우,365
누구나,365
침대,365
보이는데,364
행동을,364
사랑은,364
진,364
생각해봐,364
드릴까요,364
안다고,363
내겐,363
까지,363
선물을,363
하나요,363
가죠,363
때문이지,363
매니,363
크리스,363
예전,362
아가야,362
최근,362
있으세요,362
깊은,361
감정을,361
선생,361
하,361
않았지,361
뉴욕,361
마찬가지야,360
났어,360
남편은,360
넣어,360
지역,360
소릴,360
고작,360
말했지,359
놈들을,359
떠나지,359
위험을,359
싶다고,359
외과,359
준비를,359
학교에서,359
찰리,358
만들었어,358
세상의,358
사람들도,358
바닥에,358
1년,358
금지,358
어떤지,358
아내는,357
가르쳐,357
계신,357
온다,357
생각이야,357
우와,357
낼,357
임무를,356
잘됐네,356
마을,356
카레프,356
듯,356
스스로를,355
손으로,355
말해요,355
갈거야,355
맘대로,355
안해,355
장난,355
이라고,354
있는거,354
결과,354
연락,354
번역,354
데이브,354
떠나,354
열쇠,353
기억을,353
약간의,352
부모님이,352
하겠습니다,352
이따,352
셰퍼드,352
결과가,352
물건,352
자가,351
대해선,351
너희들은,351
또는,351
죽기,351
뿐,351
장,350
어찌,350
시체를,350
섹스,350
매번,349
않았습니다,349
싶진,349
대부분,349
어릴,349
비슷한,349
엄청나게,348
올게요,348
찾지,348
보여줘,348
여행,348
켄,348
데리러,348
만들지,347
이동,347
없었다,347
답을,347
자네에게,347
돌아오지,347
파티를,346
없군,346
부르는,346
위하여,346
줬어,346
치료를,346
떠난,346
찾으면,345
생각합니다,345
듣지,345
아빠랑,345
보스,345
죽이려고,345
싸우고,345
관심을,344
않네요,344
알겠죠,344
형은,344
됐네,344
거라는,344
나가는,343
우리랑,343
전부터,343
